2000.11.19 09:20 B C:\Documents and Settings\DAN1\MyDocs\Unabombers.com\UB-Web\UB-NewsArticles\93-06-26-LAT-Scrutton-FC-1.htm --> www.unabombers.com /www/UB-Web/UB-NewsArticles 93-06-26-LAT-Scrutton-FC-1.htm
2000.12.11 17:57 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-09-BS-LetterNotDisclosed-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-09-BS-LetterNotDisclosed-5.htm
2000.12.11 17:57 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-10-WP.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-10-WP.htm
2000.12.11 17:57 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-12-DN-JournalistQuits-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-12-DN-JournalistQuits-1.htm
2000.12.11 17:57 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-12-Tor-TKHighSchoolBomb-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-12-Tor-TKHighSchoolBomb-1.htm
2000.12.11 17:57 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-18-JP-ClarkNaziCase-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-18-JP-ClarkNaziCase-4.htm
2000.12.11 17:58 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-20-PD-Nada-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-20-PD-Nada-5.htm
2000.12.11 17:58 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-05-20-Tor-Nada-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-05-20-Tor-Nada-5.htm
2000.12.11 17:58 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-06-03-Mont-Zerzan-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-06-03-Mont-Zerzan-4.htm
2000.12.11 17:58 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-06-03-Otttawa-Zerzan-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-06-03-Otttawa-Zerzan-4.htm
2000.12.11 17:58 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-06-06-CS-ApealStrategy-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-06-06-CS-ApealStrategy-3.htm
